sentence,label
the system shall refresh the display every 60 seconds,1
the application shall match the color of the schema set forth by department of homeland security,1
if projected  the data must be readable  on a 10x10 projection screen  90 of viewers must be able to read event  activity data from a viewing distance of 30,1
the product shall be available during normal business hours as long as the user has access to the client pc  the system will be available 99 of the time during the first six months of operation,1
if projected  the data must be understandable on a 10x10 projection screen  90 of viewers must be able to determine that events or activities are occuring in current time from a viewing distance of 100,1
the product shall ensure that it can only be accessed by authorized users  the product will be able to distinguish between authorized and unauthorized users in all access attempts,1
the product shall be intuitive and selfexplanatory    90 of new users shall be able to start the display of events or activities within 90 minutes of using the product,1
the product shall respond fast to keep uptodate data in the display,1
the system shall have a mdi form that allows for the viewing of the graph and the data table,0
the system shall display events in a vertical table by time,0
the system shall display the events in a graph by time,0
all business rules specified in the disputes system shall be in compliance to the guidelines of regulation e and regulation z,1
the disputes application must maintain a detailed history of every action that a user takes on a dispute case  this ensures a complete audit trail if questions arise later on with regard to a particular dispute case,1
all actions that modify an existing dispute case must be recorded in the case history,1
the disputes system must be accessible by both internal and external users,0
the disputes system must prevent users from accessing any dispute cases that do not belong to their cardholder base,0
the disputes system will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,0
the disputes system must provide different levels of access with regard to disputes case initiation and followup actions,0
the disputes system shall provide view access capability for authorized users of the application,0
the disputes system shall provide update access capability for authorized users of the application,0
the disputes system must allow the users to select disputable transactions based on the age of the transaction from a user interface and initiate a dispute ticket retrieval request or chargeback notification on the selected transaction,0
the disputes system must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant,0
the disputes system will provide the user the ability to create or initiate a ticket retrieval request   as part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request  the ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction,0
the disputes system must allow the user to create three unique types of ticket retrieval requests  the three types of ticket retrieval requests are 1 request for original receipt 2 request for a copy of the receipt or 3 request for a portfolio a portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt,0
the disputes system must prevent external users from requesting original receipts requests for original receipts are restricted to internal users,0
the disputes system must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information the dispute case number  the type of retrieval requested copy  original or portfolio  and the date that the merchant response is due,0
the disputes system shall allow the user to create or initiate a chargeback request  the system must prompt the user to enter the required information to initiate a chargeback request the chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid,0
the disputes system must provide a confirmation to the user upon the creation of a chargeback request the confirmation must contain the following information the dispute case number  the type of chargeback requested pending or immediate  and the date that the merchant response is due,0
the disputes system shall prevent the creation of duplicate dispute requests 100 of the time,0
the disputes system shall accurately provide a list of possible reason codes for a given transaction  the list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the disputes system,0
the disputes system must provide the ability to view existing dispute cases,0
the disputes system must provide search functionality  the search method must include the ability to search by 1 the dispute case number  2 the merchant account number  3 the cardmember account number and 4 the issuer number  in addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute ticket retrieval request or chargeback notification  the case status open  closed or all and the dispute reason code,0
a list of all disputes cases that meet the entered search criteria must be provided to the user  the list of cases must differentiate the type andor status of the case by color coding the line item in the list  for example all open cases will be yellow and all closed cases will be gray,0
the disputes system shall provide the users the ability to view the history of all activities that have occurred on the dispute case,0
the dispute system shall provide the users with the ability to follow up on a dispute case via followup actions  the list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,0
the disputes system shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system  a detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes,0
for any systematic nonuser initiated action that occurs on a case such as the disputes aging process  a case activity will be generated  upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case,0
all letter requests must be formatted according to guidelines specified by the print letter utility system,0
any disputes cases that have been closed for over 6 months must be purged from the online disputes database,0
the product must support internet explorer 55 and above,1
the product must support mozilla firefox 10 and above,1
the product shall interface with the choice parts system  this provides the feed of recycled parts data,1
the product shall run on the existing hardware for all environments,1
the product shall adhere to the corporate architecture guidelines,1
the product shall comply with corporate user interface guidelines,1
the product shall comply with corporate color scheme,1
the appearance of the product shall appear professional,1
the software product is expected to run on windows or linux platforms,1
the product shall be easy to use by adjusters and collision estimators  95 of adjusters and collision estimators shall find the product easy to use,1
the product shall increase productivity of collision estimators 80 of the collision estimators shall agree their productivity has increase within 1 month of using the product,1
users shall feel satisfied using the product  85 of all users will be satisfied with the product,1
the product shall be easy to learn by adjusters and collision estimators  the product shall be learned with two days onsite training,1
the user shall easily locate instructions while using the product  user help can be found within 90 of the system,1
the search for recycled parts shall take no longer than 15 seconds  the search results shall be returned in under 15 seconds,1
the search for the preferred repair facility shall take no longer than 8 seconds  the preferred repair facility is returned within 8 seconds,1
the recycled parts audit report shall be returned to the user within 10 seconds  the audit report shall be returned within 10 seconds,1
the preferred repair facility ratings shall be saved within 5 seconds the save shall occur within 5 seconds,1
the product shall adhere to the corporate online availability schedule  the application is brought down only within 98 of the scheduled outages per the availability schedule,1
the product shall achieve a 98 uptime the product shall not fail more than 2 of the available online time,1
the product shall be able to handle up to 1500 simultaneous users the system shall perform with 1500 users as a time,1
the average number of recycled parts records per day shall be 50 000,1
the product shall be able to handle 10 000 concurrent users within 2 years of the initial launch,1
for estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions,1
the product shall interface with the choiceparts system once per day at approximately 100 am,1
the maintenance of the product will fall within the established corporate maintenance windows,1
the product shall be supported using the corporate support center,1
product installations and upgrades shall be handled by the middleware technology team within established launch time frames,1
only adjusters can request recycled parts audit reports no users without an adjuster role shall request recycled parts audits,1
only adjusters with a supervisor role can update preferred repair facility ratings users without the supervisor role cannot access the repair facility ratings,1
only collision estimators shall search for recycled parts  users without the collision estimator role shall not have access to the search for recycled parts,1
only valid data shall be entered into the system  no invalid data shall be entered into the system,1
one insurance company shall not be able to view another insurance companys claim data,1
the product shall free of computer viruses,1
the system shall prevent malicious attacks including denial of service,1
the product must comply with sarbanesoxley,1
the product shall comply with the estimatics laws relating to recycled parts usage,1
the product shall comply with insurance regulations regarding claims processing,1
the user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,0
the vehicle data shall include vehicle year  make  and model,0
the vehicle location shall include street address  city  state  and zipcode,0
the system shall resolve the zipcode for the street address  city  and state if zipcode is unknown,0
