sentence,label,length
projected data must readable 10x10 projection screen 90 viewers must able read event activity data viewing distance 30,1,18
product shall available normal business hours long user access client pc system available 99 time first six months operation,1,19
projected data must understandable 10x10 projection screen 90 viewers must able determine events activities occuring current time viewing distance 100,1,20
product shall ensure accessed authorized users product able distinguish authorized unauthorized users access attempts,1,14
product shall intuitive selfexplanatory 90 new users shall able start display events activities within 90 minutes using product,1,18
system shall mdi form allows viewing graph data table,0,9
system shall display events vertical table time,0,7
system shall display events graph time,0,6
disputes application must maintain detailed history every action user takes dispute case ensures complete audit trail questions arise later regard particular dispute case,1,23
actions modify existing dispute case must recorded case history,1,9
disputes system must accessible internal external users,0,7
disputes system facilitate direct data entry dispute case via user interface supports real time responses users,0,16
disputes system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction,0,35
disputes system must allow user create three unique types ticket retrieval requests three types ticket retrieval requests 1 request original receipt 2 request copy receipt 3 request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sales receipt,0,42
disputes system must prevent external users requesting original receipts requests original receipts restricted internal users,0,15
disputes system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request results printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid,0,36
disputes system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due,0,27
disputes system shall prevent creation duplicate dispute requests 100 time,0,10
disputes system shall accurately provide list possible reason codes given transaction list possible reason codes must derived based type transaction industry merchant belongs according business rules defined disputes system,0,29
disputes system must provide ability view existing dispute cases,0,9
disputes system must provide search functionality search method must include ability search 1 dispute case number 2 merchant account number 3 cardmember account number 4 issuer number addition criteria search functionality must allow user limit results search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code,0,53
list disputes cases meet entered search criteria must provided user list cases must differentiate type andor status case color coding line item list example open cases yellow closed cases gray,0,30
dispute system shall provide users ability follow dispute case via followup actions list available follow actions given dispute case must filtered status case access level user,0,26
disputes system shall record name user date activity creates modifies disputes case system detailed history actions taken case including date user performed action must maintained auditing purposes,0,27
systematic nonuser initiated action occurs case disputes aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case,0,26
letter requests must formatted according guidelines specified print letter utility system,0,11
disputes cases closed 6 months must purged online disputes database,0,10
product shall interface choice parts system provides feed recycled parts data,1,11
software product expected run windows linux platforms,1,7
product shall easy use adjusters collision estimators 95 adjusters collision estimators shall find product easy use,1,16
product shall increase productivity collision estimators 80 collision estimators shall agree productivity increase within 1 month using product,1,18
users shall feel satisfied using product 85 users satisfied product,1,10
product shall easy learn adjusters collision estimators product shall learned two days onsite training,1,14
user shall easily locate instructions using product user help found within 90 system,1,13
search recycled parts shall take longer 15 seconds search results shall returned 15 seconds,1,14
search preferred repair facility shall take longer 8 seconds preferred repair facility returned within 8 seconds,1,16
recycled parts audit report shall returned user within 10 seconds audit report shall returned within 10 seconds,1,17
preferred repair facility ratings shall saved within 5 seconds save shall occur within 5 seconds,1,15
product shall adhere corporate online availability schedule application brought within 98 scheduled outages per availability schedule,1,16
product shall achieve 98 uptime product shall fail 2 available online time,1,12
product shall able handle 1500 simultaneous users system shall perform 1500 users time,1,13
adjusters request recycled parts audit reports users without adjuster role shall request recycled parts audits,1,15
adjusters supervisor role update preferred repair facility ratings users without supervisor role cannot access repair facility ratings,1,17
collision estimators shall search recycled parts users without collision estimator role shall access search recycled parts,1,16
valid data shall entered system invalid data shall entered system,1,10
one insurance company shall able view another insurance companys claim data,1,11
product shall free computer viruses,1,5
system shall prevent malicious attacks including denial service,1,8
user shall search preferred repair facility using vehicle vehicle location radius miles,0,12
vehicle data shall include vehicle year make model,0,8
vehicle location shall include street address city state zipcode,0,9
system shall resolve zipcode street address city state zipcode unknown,0,10
search radius shall 1 30 miles,0,6
system shall locate preferred repair facility highest ratings input criteria,0,10
preferred repair facility shall returned user,0,6
system shall return list repair facilities within radius preferred repair facility cannot determined,0,13
system shall search available recycled parts supplied vehicle parts suppliers,0,10
system shall retain available recycled parts suppliers returned search,0,9
available recycled parts information suppliers shall returned user,0,8
system shall generate audit report based available recycled parts collision estimate,0,11
audit report shall include total number recycled parts used estimate,0,10
audit report shall include number available recycled parts original search results,0,11
audit report shall include percentage available recycled parts used estimate,0,10
audit report shall include total score audit sums indivual line items,0,11
system display blank set ratings ratings yet defined,0,8
ratings shall scale 110,0,4
ratings shall include categories attempted use recycled parts actual use recycled parts,0,12
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,1,17
product must make use webapplication server technology open source examples include apache web server tomcat jboss application server,1,18
